#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	83.95572
k__Bacteria|p__Firmicutes	15.49116
k__Bacteria|p__Proteobacteria	0.25095
k__Bacteria|p__Verrucomicrobia	0.23421
k__Bacteria|p__Actinobacteria	0.06796
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	83.95572
k__Bacteria|p__Firmicutes|c__Clostridia	12.68309
k__Bacteria|p__Firmicutes|c__Negativicutes	2.78746
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.23421
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.21242
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.06796
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.03853
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.02061
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	83.95572
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	12.68309
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2.78746
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.23421
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.21242
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.04023
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.02773
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.02573
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.02061
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.0128
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	44.4961
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	27.67462
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	11.785
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	8.25898
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	2.27911
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.8467
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	1.41418
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.879
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.50835
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.27838
