#SampleID	Metaphlan2_Analysis
k__Bacteria	99.96429
k__Viruses	0.03571
k__Bacteria|p__Bacteroidetes	74.44859
k__Bacteria|p__Firmicutes	22.6395
k__Bacteria|p__Proteobacteria	2.85018
k__Viruses|p__Viruses_noname	0.03571
k__Bacteria|p__Actinobacteria	0.02603
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	74.44859
k__Bacteria|p__Firmicutes|c__Clostridia	20.67439
k__Bacteria|p__Firmicutes|c__Negativicutes	1.8503
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.70764
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.72336
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.41683
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.05956
k__Bacteria|p__Firmicutes|c__Bacilli	0.05525
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.03571
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.02603
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.00235
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	74.44859
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	20.67439
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.8503
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.70764
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.43434
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.41683
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.28903
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.05956
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.05525
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales	0.03571
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.01766
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00572
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.00265
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.00235
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	70.97993
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	13.70316
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	5.63935
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	1.67294
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.46526
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.18512
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.98498
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.86532
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.81827
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.62231
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.60971
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.43434
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.41683
