#SampleID	Metaphlan2_Analysis
k__Bacteria	99.9984
k__Viruses	0.0016
k__Bacteria|p__Bacteroidetes	66.65126
k__Bacteria|p__Firmicutes	30.19136
k__Bacteria|p__Proteobacteria	3.10276
k__Bacteria|p__Actinobacteria	0.05303
k__Viruses|p__Viruses_noname	0.0016
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	66.65126
k__Bacteria|p__Firmicutes|c__Clostridia	29.10495
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2.28172
k__Bacteria|p__Firmicutes|c__Negativicutes	1.07968
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.82104
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.05303
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.00587
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.0016
k__Bacteria|p__Firmicutes|c__Bacilli	0.00086
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	66.65126
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	29.10495
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	2.00886
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.07968
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.82104
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.27286
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.04915
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.00587
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.00388
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.0016
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.00086
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	60.91421
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	25.04247
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	5.73577
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.02921
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	2.00886
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	1.07968
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1.03327
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.82104
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.27286
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.04915
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.00587
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.00388
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae	0.0016
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.00128
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.00086
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	60.91421
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	25.02714
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	5.73016
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	2.63635
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	2.00532
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	1.03327
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	0.82719
