#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	73.3441
k__Bacteria|p__Firmicutes	24.6532
k__Bacteria|p__Proteobacteria	1.13464
k__Bacteria|p__Verrucomicrobia	0.68494
k__Bacteria|p__Actinobacteria	0.18312
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	73.3441
k__Bacteria|p__Firmicutes|c__Clostridia	23.64054
k__Bacteria|p__Firmicutes|c__Negativicutes	0.82085
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.68494
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.59155
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.40328
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.19182
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.18312
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.13982
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	73.3441
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	23.64054
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.82085
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.68494
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.59155
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.40328
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.19182
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.14746
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.13982
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.03566
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	38.69451
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	19.10426
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	13.69622
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	10.48364
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	5.06169
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	4.93551
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2.72318
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	1.30396
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.92476
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.82085
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.68494
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.59155
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.40328
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.19182
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.14746
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.12975
