#SampleID	Metaphlan2_Analysis
k__Bacteria	99.99634
k__Viruses	0.00219
k__Eukaryota	0.00147
k__Bacteria|p__Firmicutes	51.57049
k__Bacteria|p__Bacteroidetes	46.28602
k__Bacteria|p__Proteobacteria	1.37959
k__Bacteria|p__Actinobacteria	0.76024
k__Viruses|p__Viruses_noname	0.00219
k__Eukaryota|p__Ascomycota	0.00147
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	46.28602
k__Bacteria|p__Firmicutes|c__Negativicutes	43.76445
k__Bacteria|p__Firmicutes|c__Clostridia	7.78964
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.0387
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.76024
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.29803
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.04286
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.01444
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.00219
k__Bacteria|p__Firmicutes|c__Bacilli	0.00196
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.00147
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	46.28602
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	43.76445
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	7.78964
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.0387
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.61957
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.29803
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.14067
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.04286
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.01444
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.00219
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.00196
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.00147
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	34.02151
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	32.12541
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	11.63905
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	8.65635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	3.28348
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.1284
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2.98887
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1.23604
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	1.0387
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.61957
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.32467
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.26932
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.21618
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.14067
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.12671
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.08185
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.04286
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.03144
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.01444
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.00886
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae	0.00219
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.00196
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0.00147
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	34.02151
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	31.30525
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	11.50841
