#SampleID	Metaphlan2_Analysis
k__Bacteria	77.41471
k__Archaea	22.58529
k__Bacteria|p__Firmicutes	73.96902
k__Archaea|p__Euryarchaeota	22.58529
k__Bacteria|p__Actinobacteria	1.79598
k__Bacteria|p__Proteobacteria	0.80555
k__Bacteria|p__Bacteroidetes	0.44599
k__Bacteria|p__Spirochaetes	0.30627
k__Bacteria|p__Fibrobacteres	0.09189
k__Bacteria|p__Firmicutes|c__Clostridia	71.45484
k__Archaea|p__Euryarchaeota|c__Methanobacteria	22.56221
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.79598
k__Bacteria|p__Firmicutes|c__Negativicutes	1.4531
k__Bacteria|p__Firmicutes|c__Bacilli	0.95061
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.80555
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.44599
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.30627
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.11047
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	0.09189
k__Archaea|p__Euryarchaeota|c__Methanococci	0.02308
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	71.45484
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	22.56221
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.4531
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.45086
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.95061
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.80555
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.44599
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.34512
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.30627
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.11047
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	0.09189
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	0.02308
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	68.53716
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	22.56221
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2.90146
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.45086
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	1.33245
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.95061
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	0.80555
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.44599
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.34512
