#SampleID	Metaphlan2_Analysis
k__Bacteria	99.99661
k__Viruses	0.00339
k__Bacteria|p__Bacteroidetes	80.29337
k__Bacteria|p__Firmicutes	18.80914
k__Bacteria|p__Proteobacteria	0.70031
k__Bacteria|p__Actinobacteria	0.18703
k__Bacteria|p__Verrucomicrobia	0.00676
k__Viruses|p__Viruses_noname	0.00339
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	80.29337
k__Bacteria|p__Firmicutes|c__Clostridia	18.49737
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.33435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.32584
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.18703
k__Bacteria|p__Firmicutes|c__Negativicutes	0.14686
k__Bacteria|p__Firmicutes|c__Bacilli	0.1002
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.06472
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.04011
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.00676
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.00339
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	80.29337
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	18.49737
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.33435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.32584
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.14686
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.11949
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.1002
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.06754
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.06472
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.04011
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.00676
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.00339
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	47.4473
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	18.44859
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	10.55725
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	7.67306
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	6.42685
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	4.26314
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.48252
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.32584
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.29756
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.28157
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.14686
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.11949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.11015
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.1002
