#SampleID	Metaphlan2_Analysis
k__Viruses	99.29551
k__Bacteria	0.44225
k__Archaea	0.26224
k__Viruses|p__Viruses_noname	99.29551
k__Bacteria|p__Firmicutes	0.41157
k__Archaea|p__Euryarchaeota	0.26224
k__Bacteria|p__Actinobacteria	0.02006
k__Bacteria|p__Proteobacteria	0.00485
k__Bacteria|p__Bacteroidetes	0.00464
k__Bacteria|p__Fibrobacteres	0.00113
k__Viruses|p__Viruses_noname|c__Viruses_noname	99.29551
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.26224
k__Bacteria|p__Firmicutes|c__Negativicutes	0.2534
k__Bacteria|p__Firmicutes|c__Clostridia	0.15817
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.02006
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.00464
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.00244
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00241
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	0.00113
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	99.13259
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.26224
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.2534
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales	0.16292
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.15817
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.02006
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.00464
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.00241
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	0.00113
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.00093
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.00082
