#SampleID	Metaphlan2_Analysis
k__Viruses	99.78072
k__Archaea	0.12457
k__Bacteria	0.09471
k__Viruses|p__Viruses_noname	99.78072
k__Archaea|p__Euryarchaeota	0.12457
k__Bacteria|p__Firmicutes	0.08609
k__Bacteria|p__Proteobacteria	0.00426
k__Bacteria|p__Bacteroidetes	0.00298
k__Bacteria|p__Actinobacteria	0.00083
k__Bacteria|p__Spirochaetes	0.00056
k__Viruses|p__Viruses_noname|c__Viruses_noname	99.78072
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.12457
k__Bacteria|p__Firmicutes|c__Clostridia	0.08609
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00426
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.00298
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.00083
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.00056
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	99.63485
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales	0.14586
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.12457
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.08609
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.00426
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.00298
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.00083
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.00056
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname	87.77362
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bromoviridae	11.85412
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Betaflexiviridae	0.14586
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.12457
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.0587
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.02739
