#SampleID	Metaphlan2_Analysis
k__Viruses	99.46896
k__Bacteria	0.46016
k__Archaea	0.07089
k__Viruses|p__Viruses_noname	99.46896
k__Bacteria|p__Firmicutes	0.36119
k__Archaea|p__Euryarchaeota	0.07089
k__Bacteria|p__Bacteroidetes	0.06845
k__Bacteria|p__Actinobacteria	0.01543
k__Bacteria|p__Fibrobacteres	0.01362
k__Bacteria|p__Proteobacteria	0.00095
k__Bacteria|p__Spirochaetes	0.00052
k__Viruses|p__Viruses_noname|c__Viruses_noname	99.46896
k__Bacteria|p__Firmicutes|c__Clostridia	0.2138
k__Bacteria|p__Firmicutes|c__Negativicutes	0.14725
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.07089
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.06845
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.01543
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	0.01362
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.00052
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00049
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.00045
k__Bacteria|p__Firmicutes|c__Bacilli	0.00014
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	99.28277
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.2138
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales	0.18619
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.14725
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.07089
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.06845
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.01543
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	0.01362
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.00052
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.00049
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.00045
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.00014
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname	83.83478
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bromoviridae	15.43913
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Betaflexiviridae	0.18619
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.14725
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.11547
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.09781
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.07089
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.06845
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.01543
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae	0.01362
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Partitiviridae	0.00449
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Luteoviridae	0.00437
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.00053
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	0.00052
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	0.00049
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	0.00045
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.00014
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname	61.63044
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Sobemovirus	22.20434
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bromoviridae|g__Alfamovirus	15.43913
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Betaflexiviridae|g__Carlavirus	0.18619
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera	0.12354
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0.11516
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0.0975
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.07089
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.06845
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella	0.02368
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter	0.01362
