#SampleID	Metaphlan2_Analysis
k__Bacteria	99.71628
k__Viruses	0.28372
k__Bacteria|p__Actinobacteria	75.44062
k__Bacteria|p__Firmicutes	21.52528
k__Bacteria|p__Proteobacteria	2.58267
k__Viruses|p__Viruses_noname	0.28372
k__Bacteria|p__Fusobacteria	0.16771
k__Bacteria|p__Actinobacteria|c__Actinobacteria	75.44062
k__Bacteria|p__Firmicutes|c__Bacilli	20.20259
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.8346
k__Bacteria|p__Firmicutes|c__Clostridia	1.22415
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.74807
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.28372
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.16771
k__Bacteria|p__Firmicutes|c__Negativicutes	0.09855
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	75.44062
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	19.40248
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1.8346
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.22415
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.80011
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.74807
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.28372
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.16771
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.09855
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	72.34001
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	19.34715
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	3.10061
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	1.8346
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.99497
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	0.74807
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.51593
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.28418
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae	0.28372
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.22918
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.16771
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.09855
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.05533
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	72.34001
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	19.34715
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	3.10061
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	1.8346
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus	0.99497
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	0.74807
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	0.51593
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.28418
