#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Proteobacteria	45.47059
k__Bacteria|p__Bacteroidetes	23.12761
k__Bacteria|p__Fusobacteria	15.79914
k__Bacteria|p__Firmicutes	13.72597
k__Bacteria|p__Spirochaetes	1.27685
k__Bacteria|p__Actinobacteria	0.59984
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	41.07003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	23.12761
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	15.79914
k__Bacteria|p__Firmicutes|c__Clostridia	7.14293
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	4.02133
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3.34295
k__Bacteria|p__Firmicutes|c__Bacilli	1.9209
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1.27685
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1.05761
k__Bacteria|p__Firmicutes|c__Negativicutes	0.64081
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.59984
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	41.07003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	23.12761
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	15.79914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	7.14293
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	4.02133
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	3.34295
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.63088
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	1.27685
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	1.05761
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.64081
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.53778
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.29001
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.06206
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	41.07003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	23.12761
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	15.29614
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	4.08484
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	4.02133
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	3.34295
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	1.89555
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1.58873
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	1.27685
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	1.05761
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	1.02864
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.64081
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.50301
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.29001
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.27909
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.22614
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.13391
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.06206
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.04216
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.03255
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	40.88069
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	22.90528
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	15.29614
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia	4.00524
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	3.28557
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	2.07593
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Filifactor	2.00891
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas	1.89555
