#SampleID	Metaphlan2_Analysis
k__Bacteria	99.88332
k__Viruses	0.11668
k__Bacteria|p__Firmicutes	71.57964
k__Bacteria|p__Bacteroidetes	18.1575
k__Bacteria|p__Deferribacteres	8.14064
k__Bacteria|p__Proteobacteria	1.96751
k__Viruses|p__Viruses_noname	0.11668
k__Bacteria|p__Actinobacteria	0.03802
k__Bacteria|p__Firmicutes|c__Bacilli	57.02087
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	18.1575
k__Bacteria|p__Firmicutes|c__Clostridia	14.55877
k__Bacteria|p__Deferribacteres|c__Deferribacteres	8.14064
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.89059
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.11668
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.05048
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.03802
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.02644
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	56.98002
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	18.1575
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	14.55877
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	8.14064
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.89059
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.11668
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.05048
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.04086
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.03802
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.02644
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	54.37616
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	17.99206
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	14.40454
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	8.14064
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2.60385
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	1.89059
